split,episode,episode_id,density,snr,slot,window_index,origin_ms,origin_before_ms,gt_before,gt_after,masked_positions,masked_first_origin_ms,masked_last_origin_ms,masked_labelled_cells_nominal
train,5,s0_t1118935720200_a3,high,-5.0,2,21,1118935733600,1118935733100,4,15,3,1118935733100,1118935734100,3
train,5,s0_t1118935720200_a3,high,-5.0,2,22,1118935734100,1118935733600,15,4,3,1118935733600,1118935734600,3
train,5,s0_t1118935720200_a3,high,-5.0,6,27,1118935736600,1118935736100,11,7,3,1118935736100,1118935737100,3
train,5,s0_t1118935720200_a3,high,0.0,3,20,1118935733100,1118935732600,11,7,3,1118935732600,1118935733600,2
train,5,s0_t1118935720200_a3,high,5.0,2,1,1118935723600,1118935723100,12,11,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,5.0,2,2,1118935724100,1118935723600,11,12,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,10.0,2,1,1118935723600,1118935723100,12,11,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,10.0,3,1,1118935723600,1118935723100,4,5,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,10.0,2,2,1118935724100,1118935723600,11,12,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,10.0,3,2,1118935724100,1118935723600,5,4,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,10.0,3,11,1118935728600,1118935728100,11,12,3,1118935728100,1118935729100,3
train,5,s0_t1118935720200_a3,high,10.0,3,12,1118935729100,1118935728600,12,11,3,1118935728600,1118935729600,3
train,5,s0_t1118935720200_a3,high,10.0,5,21,1118935733600,1118935733100,7,15,3,1118935733100,1118935734100,2
train,5,s0_t1118935720200_a3,high,15.0,2,1,1118935723600,1118935723100,12,11,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,15.0,3,1,1118935723600,1118935723100,4,5,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,15.0,2,2,1118935724100,1118935723600,11,12,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,15.0,3,2,1118935724100,1118935723600,5,4,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,15.0,3,11,1118935728600,1118935728100,11,12,3,1118935728100,1118935729100,3
train,5,s0_t1118935720200_a3,high,15.0,3,12,1118935729100,1118935728600,12,11,3,1118935728600,1118935729600,3
train,5,s0_t1118935720200_a3,high,15.0,5,21,1118935733600,1118935733100,7,15,3,1118935733100,1118935734100,2
train,5,s0_t1118935720200_a3,high,20.0,2,1,1118935723600,1118935723100,12,11,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,20.0,3,1,1118935723600,1118935723100,4,5,3,1118935723100,1118935724100,3
train,5,s0_t1118935720200_a3,high,20.0,2,2,1118935724100,1118935723600,11,12,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,20.0,3,2,1118935724100,1118935723600,5,4,3,1118935723600,1118935724600,3
train,5,s0_t1118935720200_a3,high,20.0,3,11,1118935728600,1118935728100,11,12,3,1118935728100,1118935729100,3
train,5,s0_t1118935720200_a3,high,20.0,3,12,1118935729100,1118935728600,12,11,3,1118935728600,1118935729600,3
train,5,s0_t1118935720200_a3,high,20.0,1,21,1118935733600,1118935733100,7,15,3,1118935733100,1118935734100,2
train,7,s0_t1118935720200_a39,high,-5.0,2,1,1118935723600,1118935723100,42,41,3,1118935723100,1118935724100,3
train,7,s0_t1118935720200_a39,high,-5.0,1,14,1118935730100,1118935729600,37,38,3,1118935729600,1118935730600,3
train,7,s0_t1118935720200_a39,high,-5.0,3,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,-5.0,1,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,-5.0,1,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,-5.0,3,24,1118935735100,1118935734600,42,39,3,1118935734600,1118935735600,3
train,7,s0_t1118935720200_a39,high,0.0,0,12,1118935729100,1118935728600,40,37,3,1118935728600,1118935729600,3
train,7,s0_t1118935720200_a39,high,0.0,3,12,1118935729100,1118935728600,37,38,3,1118935728600,1118935729600,3
train,7,s0_t1118935720200_a39,high,0.0,0,13,1118935729600,1118935729100,37,40,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,0.0,3,13,1118935729600,1118935729100,38,37,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,0.0,0,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,0.0,3,15,1118935730600,1118935730100,37,38,3,1118935730100,1118935731100,3
train,7,s0_t1118935720200_a39,high,0.0,3,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,0.0,3,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,5.0,3,1,1118935723600,1118935723100,41,42,3,1118935723100,1118935724100,3
train,7,s0_t1118935720200_a39,high,5.0,3,3,1118935724600,1118935724100,42,41,3,1118935724100,1118935725100,3
train,7,s0_t1118935720200_a39,high,5.0,1,12,1118935729100,1118935728600,37,38,3,1118935728600,1118935729600,3
train,7,s0_t1118935720200_a39,high,5.0,1,13,1118935729600,1118935729100,38,37,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,5.0,0,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,5.0,1,15,1118935730600,1118935730100,37,38,3,1118935730100,1118935731100,3
train,7,s0_t1118935720200_a39,high,5.0,1,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,5.0,1,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,5.0,6,21,1118935733600,1118935733100,37,38,3,1118935733100,1118935734100,2
train,7,s0_t1118935720200_a39,high,5.0,2,22,1118935734100,1118935733600,37,38,3,1118935733600,1118935734600,2
train,7,s0_t1118935720200_a39,high,5.0,3,30,1118935738100,1118935737600,39,42,2,1118935737600,1118935738100,2
train,7,s0_t1118935720200_a39,high,10.0,2,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,10.0,7,15,1118935730600,1118935730100,37,38,3,1118935730100,1118935731100,3
train,7,s0_t1118935720200_a39,high,10.0,7,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,10.0,7,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,10.0,4,21,1118935733600,1118935733100,37,38,3,1118935733100,1118935734100,2
train,7,s0_t1118935720200_a39,high,10.0,6,22,1118935734100,1118935733600,37,38,3,1118935733600,1118935734600,2
train,7,s0_t1118935720200_a39,high,10.0,1,30,1118935738100,1118935737600,39,42,2,1118935737600,1118935738100,2
train,7,s0_t1118935720200_a39,high,15.0,6,3,1118935724600,1118935724100,42,41,3,1118935724100,1118935725100,3
train,7,s0_t1118935720200_a39,high,15.0,0,10,1118935728100,1118935727600,37,38,3,1118935727600,1118935728600,3
train,7,s0_t1118935720200_a39,high,15.0,5,12,1118935729100,1118935728600,40,37,3,1118935728600,1118935729600,3
train,7,s0_t1118935720200_a39,high,15.0,0,13,1118935729600,1118935729100,38,37,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,15.0,5,13,1118935729600,1118935729100,37,40,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,15.0,0,15,1118935730600,1118935730100,37,38,3,1118935730100,1118935731100,3
train,7,s0_t1118935720200_a39,high,15.0,5,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,15.0,0,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,15.0,0,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,15.0,3,21,1118935733600,1118935733100,37,38,3,1118935733100,1118935734100,2
train,7,s0_t1118935720200_a39,high,15.0,2,22,1118935734100,1118935733600,37,38,3,1118935733600,1118935734600,2
train,7,s0_t1118935720200_a39,high,20.0,6,3,1118935724600,1118935724100,42,41,3,1118935724100,1118935725100,3
train,7,s0_t1118935720200_a39,high,20.0,1,10,1118935728100,1118935727600,37,38,3,1118935727600,1118935728600,3
train,7,s0_t1118935720200_a39,high,20.0,5,12,1118935729100,1118935728600,40,37,3,1118935728600,1118935729600,3
train,7,s0_t1118935720200_a39,high,20.0,1,13,1118935729600,1118935729100,38,37,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,20.0,5,13,1118935729600,1118935729100,37,40,3,1118935729100,1118935730100,3
train,7,s0_t1118935720200_a39,high,20.0,1,15,1118935730600,1118935730100,37,38,3,1118935730100,1118935731100,3
train,7,s0_t1118935720200_a39,high,20.0,5,15,1118935730600,1118935730100,40,37,3,1118935730100,1118935731100,2
train,7,s0_t1118935720200_a39,high,20.0,1,18,1118935732100,1118935731600,38,37,3,1118935731600,1118935732600,3
train,7,s0_t1118935720200_a39,high,20.0,1,19,1118935732600,1118935732100,37,38,3,1118935732100,1118935733100,3
train,7,s0_t1118935720200_a39,high,20.0,3,21,1118935733600,1118935733100,37,38,3,1118935733100,1118935734100,2
train,7,s0_t1118935720200_a39,high,20.0,2,22,1118935734100,1118935733600,37,38,3,1118935733600,1118935734600,2
train,8,s0_t1118935740200_a21,high,-5.0,1,2,1118935744100,1118935743600,26,28,3,1118935743600,1118935744600,3
train,8,s0_t1118935740200_a21,high,-5.0,2,2,1118935744100,1118935743600,21,10,3,1118935743600,1118935744600,3
train,8,s0_t1118935740200_a21,high,-5.0,4,2,1118935744100,1118935743600,24,26,3,1118935743600,1118935744600,3
train,8,s0_t1118935740200_a21,high,-5.0,2,5,1118935745600,1118935745100,10,21,3,1118935745100,1118935746100,3
train,8,s0_t1118935740200_a21,high,-5.0,0,7,1118935746600,1118935746100,24,19,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,-5.0,2,7,1118935746600,1118935746100,21,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,-5.0,7,7,1118935746600,1118935746100,19,21,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,-5.0,4,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,3
train,8,s0_t1118935740200_a21,high,-5.0,1,10,1118935748100,1118935747600,28,19,3,1118935747600,1118935748600,3
train,8,s0_t1118935740200_a21,high,-5.0,0,14,1118935750100,1118935749600,24,26,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,-5.0,1,14,1118935750100,1118935749600,19,21,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,-5.0,0,15,1118935750600,1118935750100,26,24,3,1118935750100,1118935751100,3
train,8,s0_t1118935740200_a21,high,-5.0,1,15,1118935750600,1118935750100,21,19,3,1118935750100,1118935751100,2
train,8,s0_t1118935740200_a21,high,-5.0,5,15,1118935750600,1118935750100,24,26,3,1118935750100,1118935751100,3
train,8,s0_t1118935740200_a21,high,-5.0,6,15,1118935750600,1118935750100,19,28,3,1118935750100,1118935751100,2
train,8,s0_t1118935740200_a21,high,-5.0,0,16,1118935751100,1118935750600,24,26,3,1118935750600,1118935751600,3
train,8,s0_t1118935740200_a21,high,-5.0,2,16,1118935751100,1118935750600,10,18,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,-5.0,5,16,1118935751100,1118935750600,26,28,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,-5.0,2,20,1118935753100,1118935752600,21,24,3,1118935752600,1118935753600,2
train,8,s0_t1118935740200_a21,high,-5.0,0,21,1118935753600,1118935753100,26,24,3,1118935753100,1118935754100,3
train,8,s0_t1118935740200_a21,high,-5.0,4,25,1118935755600,1118935755100,18,10,3,1118935755100,1118935756100,3
train,8,s0_t1118935740200_a21,high,-5.0,1,28,1118935757100,1118935756600,19,21,3,1118935756600,1118935757600,3
train,8,s0_t1118935740200_a21,high,0.0,1,1,1118935743600,1118935743100,18,10,3,1118935743100,1118935744100,2
train,8,s0_t1118935740200_a21,high,0.0,7,2,1118935744100,1118935743600,18,10,3,1118935743600,1118935744600,2
train,8,s0_t1118935740200_a21,high,0.0,2,3,1118935744600,1118935744100,21,10,3,1118935744100,1118935745100,3
train,8,s0_t1118935740200_a21,high,0.0,0,5,1118935745600,1118935745100,26,24,3,1118935745100,1118935746100,3
train,8,s0_t1118935740200_a21,high,0.0,2,6,1118935746100,1118935745600,10,18,3,1118935745600,1118935746600,3
train,8,s0_t1118935740200_a21,high,0.0,4,6,1118935746100,1118935745600,20,10,3,1118935745600,1118935746600,2
train,8,s0_t1118935740200_a21,high,0.0,2,7,1118935746600,1118935746100,18,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,0.0,5,7,1118935746600,1118935746100,19,21,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,0.0,0,8,1118935747100,1118935746600,24,26,3,1118935746600,1118935747600,3
train,8,s0_t1118935740200_a21,high,0.0,0,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,3
train,8,s0_t1118935740200_a21,high,0.0,2,11,1118935748600,1118935748100,10,21,3,1118935748100,1118935749100,3
train,8,s0_t1118935740200_a21,high,0.0,2,12,1118935749100,1118935748600,21,10,3,1118935748600,1118935749600,3
train,8,s0_t1118935740200_a21,high,0.0,6,14,1118935750100,1118935749600,19,21,3,1118935749600,1118935750600,2
train,8,s0_t1118935740200_a21,high,0.0,0,16,1118935751100,1118935750600,24,19,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,0.0,3,16,1118935751100,1118935750600,28,26,3,1118935750600,1118935751600,3
train,8,s0_t1118935740200_a21,high,0.0,5,16,1118935751100,1118935750600,26,24,3,1118935750600,1118935751600,3
train,8,s0_t1118935740200_a21,high,0.0,3,22,1118935754100,1118935753600,26,24,3,1118935753600,1118935754600,3
train,8,s0_t1118935740200_a21,high,0.0,0,26,1118935756100,1118935755600,18,10,3,1118935755600,1118935756600,3
train,8,s0_t1118935740200_a21,high,0.0,7,28,1118935757100,1118935756600,19,21,3,1118935756600,1118935757600,3
train,8,s0_t1118935740200_a21,high,0.0,2,30,1118935758100,1118935757600,26,24,2,1118935757600,1118935758100,2
train,8,s0_t1118935740200_a21,high,5.0,1,1,1118935743600,1118935743100,18,10,3,1118935743100,1118935744100,2
train,8,s0_t1118935740200_a21,high,5.0,7,2,1118935744100,1118935743600,18,10,3,1118935743600,1118935744600,2
train,8,s0_t1118935740200_a21,high,5.0,2,3,1118935744600,1118935744100,21,10,3,1118935744100,1118935745100,3
train,8,s0_t1118935740200_a21,high,5.0,2,6,1118935746100,1118935745600,10,18,3,1118935745600,1118935746600,3
train,8,s0_t1118935740200_a21,high,5.0,4,6,1118935746100,1118935745600,20,10,3,1118935745600,1118935746600,2
train,8,s0_t1118935740200_a21,high,5.0,2,7,1118935746600,1118935746100,18,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,5.0,5,7,1118935746600,1118935746100,19,21,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,5.0,0,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,3
train,8,s0_t1118935740200_a21,high,5.0,2,11,1118935748600,1118935748100,10,21,3,1118935748100,1118935749100,3
train,8,s0_t1118935740200_a21,high,5.0,2,12,1118935749100,1118935748600,21,10,3,1118935748600,1118935749600,3
train,8,s0_t1118935740200_a21,high,5.0,6,14,1118935750100,1118935749600,19,21,3,1118935749600,1118935750600,2
train,8,s0_t1118935740200_a21,high,5.0,0,16,1118935751100,1118935750600,24,19,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,5.0,3,16,1118935751100,1118935750600,28,26,3,1118935750600,1118935751600,3
train,8,s0_t1118935740200_a21,high,5.0,5,16,1118935751100,1118935750600,26,24,3,1118935750600,1118935751600,3
train,8,s0_t1118935740200_a21,high,5.0,1,24,1118935755100,1118935754600,28,19,3,1118935754600,1118935755600,3
train,8,s0_t1118935740200_a21,high,5.0,3,24,1118935755100,1118935754600,26,28,3,1118935754600,1118935755600,3
train,8,s0_t1118935740200_a21,high,5.0,6,26,1118935756100,1118935755600,18,10,3,1118935755600,1118935756600,3
train,8,s0_t1118935740200_a21,high,5.0,6,27,1118935756600,1118935756100,10,18,3,1118935756100,1118935757100,2
train,8,s0_t1118935740200_a21,high,5.0,1,28,1118935757100,1118935756600,19,21,3,1118935756600,1118935757600,3
train,8,s0_t1118935740200_a21,high,5.0,3,29,1118935757600,1118935757100,28,26,3,1118935757100,1118935758100,3
train,8,s0_t1118935740200_a21,high,5.0,7,29,1118935757600,1118935757100,26,24,3,1118935757100,1118935758100,2
train,8,s0_t1118935740200_a21,high,5.0,5,30,1118935758100,1118935757600,10,20,2,1118935757600,1118935758100,2
train,8,s0_t1118935740200_a21,high,10.0,2,1,1118935743600,1118935743100,10,21,3,1118935743100,1118935744100,3
train,8,s0_t1118935740200_a21,high,10.0,2,3,1118935744600,1118935744100,21,10,3,1118935744100,1118935745100,3
train,8,s0_t1118935740200_a21,high,10.0,2,5,1118935745600,1118935745100,10,21,3,1118935745100,1118935746100,3
train,8,s0_t1118935740200_a21,high,10.0,0,7,1118935746600,1118935746100,24,19,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,10.0,2,7,1118935746600,1118935746100,21,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,10.0,4,7,1118935746600,1118935746100,19,28,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,10.0,3,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,3
train,8,s0_t1118935740200_a21,high,10.0,5,14,1118935750100,1118935749600,19,24,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,10.0,7,14,1118935750100,1118935749600,24,26,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,10.0,1,15,1118935750600,1118935750100,20,10,3,1118935750100,1118935751100,3
train,8,s0_t1118935740200_a21,high,10.0,2,15,1118935750600,1118935750100,10,18,3,1118935750100,1118935751100,3
train,8,s0_t1118935740200_a21,high,10.0,1,17,1118935751600,1118935751100,10,20,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,10.0,4,17,1118935751600,1118935751100,20,10,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,10.0,7,21,1118935753600,1118935753100,26,24,3,1118935753100,1118935754100,3
train,8,s0_t1118935740200_a21,high,10.0,1,22,1118935754100,1118935753600,20,10,3,1118935753600,1118935754600,3
train,8,s0_t1118935740200_a21,high,10.0,1,23,1118935754600,1118935754100,10,20,3,1118935754100,1118935755100,3
train,8,s0_t1118935740200_a21,high,10.0,3,23,1118935754600,1118935754100,19,21,3,1118935754100,1118935755100,3
train,8,s0_t1118935740200_a21,high,10.0,4,23,1118935754600,1118935754100,21,19,3,1118935754100,1118935755100,2
train,8,s0_t1118935740200_a21,high,10.0,3,24,1118935755100,1118935754600,21,19,3,1118935754600,1118935755600,3
train,8,s0_t1118935740200_a21,high,10.0,0,25,1118935755600,1118935755100,18,10,3,1118935755100,1118935756100,2
train,8,s0_t1118935740200_a21,high,10.0,1,26,1118935756100,1118935755600,20,10,3,1118935755600,1118935756600,3
train,8,s0_t1118935740200_a21,high,10.0,1,27,1118935756600,1118935756100,10,20,3,1118935756100,1118935757100,3
train,8,s0_t1118935740200_a21,high,10.0,0,30,1118935758100,1118935757600,10,20,2,1118935757600,1118935758100,2
train,8,s0_t1118935740200_a21,high,10.0,6,30,1118935758100,1118935757600,28,26,2,1118935757600,1118935758100,2
train,8,s0_t1118935740200_a21,high,15.0,2,1,1118935743600,1118935743100,10,21,3,1118935743100,1118935744100,3
train,8,s0_t1118935740200_a21,high,15.0,2,3,1118935744600,1118935744100,21,10,3,1118935744100,1118935745100,3
train,8,s0_t1118935740200_a21,high,15.0,2,5,1118935745600,1118935745100,10,21,3,1118935745100,1118935746100,3
train,8,s0_t1118935740200_a21,high,15.0,0,7,1118935746600,1118935746100,24,19,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,15.0,2,7,1118935746600,1118935746100,21,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,15.0,4,7,1118935746600,1118935746100,19,28,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,15.0,3,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,2
train,8,s0_t1118935740200_a21,high,15.0,5,12,1118935749100,1118935748600,19,28,3,1118935748600,1118935749600,2
train,8,s0_t1118935740200_a21,high,15.0,2,13,1118935749600,1118935749100,10,21,3,1118935749100,1118935750100,3
train,8,s0_t1118935740200_a21,high,15.0,2,14,1118935750100,1118935749600,21,10,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,15.0,3,14,1118935750100,1118935749600,26,28,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,15.0,6,14,1118935750100,1118935749600,10,18,3,1118935749600,1118935750600,3
train,8,s0_t1118935740200_a21,high,15.0,2,16,1118935751100,1118935750600,10,18,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,15.0,1,17,1118935751600,1118935751100,10,20,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,15.0,4,17,1118935751600,1118935751100,20,10,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,15.0,5,20,1118935753100,1118935752600,26,24,3,1118935752600,1118935753600,3
train,8,s0_t1118935740200_a21,high,15.0,1,22,1118935754100,1118935753600,20,10,3,1118935753600,1118935754600,3
train,8,s0_t1118935740200_a21,high,15.0,1,23,1118935754600,1118935754100,10,20,3,1118935754100,1118935755100,3
train,8,s0_t1118935740200_a21,high,15.0,1,26,1118935756100,1118935755600,20,10,3,1118935755600,1118935756600,3
train,8,s0_t1118935740200_a21,high,15.0,1,27,1118935756600,1118935756100,10,20,3,1118935756100,1118935757100,3
train,8,s0_t1118935740200_a21,high,15.0,6,29,1118935757600,1118935757100,26,24,3,1118935757100,1118935758100,3
train,8,s0_t1118935740200_a21,high,15.0,0,30,1118935758100,1118935757600,10,20,2,1118935757600,1118935758100,2
train,8,s0_t1118935740200_a21,high,20.0,2,1,1118935743600,1118935743100,10,21,3,1118935743100,1118935744100,3
train,8,s0_t1118935740200_a21,high,20.0,2,3,1118935744600,1118935744100,21,10,3,1118935744100,1118935745100,3
train,8,s0_t1118935740200_a21,high,20.0,2,5,1118935745600,1118935745100,10,21,3,1118935745100,1118935746100,3
train,8,s0_t1118935740200_a21,high,20.0,0,7,1118935746600,1118935746100,24,19,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,20.0,2,7,1118935746600,1118935746100,21,10,3,1118935746100,1118935747100,3
train,8,s0_t1118935740200_a21,high,20.0,4,7,1118935746600,1118935746100,19,28,3,1118935746100,1118935747100,2
train,8,s0_t1118935740200_a21,high,20.0,3,9,1118935747600,1118935747100,26,24,3,1118935747100,1118935748100,2
train,8,s0_t1118935740200_a21,high,20.0,5,12,1118935749100,1118935748600,19,28,3,1118935748600,1118935749600,2
train,8,s0_t1118935740200_a21,high,20.0,1,15,1118935750600,1118935750100,20,10,3,1118935750100,1118935751100,2
train,8,s0_t1118935740200_a21,high,20.0,2,15,1118935750600,1118935750100,10,18,3,1118935750100,1118935751100,3
train,8,s0_t1118935740200_a21,high,20.0,2,16,1118935751100,1118935750600,18,10,3,1118935750600,1118935751600,2
train,8,s0_t1118935740200_a21,high,20.0,3,17,1118935751600,1118935751100,28,26,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,20.0,4,17,1118935751600,1118935751100,20,10,3,1118935751100,1118935752100,3
train,8,s0_t1118935740200_a21,high,20.0,5,17,1118935751600,1118935751100,26,28,3,1118935751100,1118935752100,2
train,8,s0_t1118935740200_a21,high,20.0,3,21,1118935753600,1118935753100,26,28,3,1118935753100,1118935754100,2
train,8,s0_t1118935740200_a21,high,20.0,1,22,1118935754100,1118935753600,20,10,3,1118935753600,1118935754600,3
train,8,s0_t1118935740200_a21,high,20.0,5,22,1118935754100,1118935753600,19,18,3,1118935753600,1118935754600,2
train,8,s0_t1118935740200_a21,high,20.0,1,23,1118935754600,1118935754100,10,20,3,1118935754100,1118935755100,3
train,8,s0_t1118935740200_a21,high,20.0,2,24,1118935755100,1118935754600,19,21,3,1118935754600,1118935755600,3
train,8,s0_t1118935740200_a21,high,20.0,2,25,1118935755600,1118935755100,21,28,3,1118935755100,1118935756100,3
train,8,s0_t1118935740200_a21,high,20.0,2,26,1118935756100,1118935755600,28,19,3,1118935755600,1118935756600,3
train,8,s0_t1118935740200_a21,high,20.0,4,27,1118935756600,1118935756100,26,24,3,1118935756100,1118935757100,3
train,8,s0_t1118935740200_a21,high,20.0,4,28,1118935757100,1118935756600,24,26,3,1118935756600,1118935757600,3
train,8,s0_t1118935740200_a21,high,20.0,4,29,1118935757600,1118935757100,26,24,3,1118935757100,1118935758100,2
train,8,s0_t1118935740200_a21,high,20.0,6,29,1118935757600,1118935757100,10,21,3,1118935757100,1118935758100,3
train,8,s0_t1118935740200_a21,high,20.0,6,30,1118935758100,1118935757600,21,10,2,1118935757600,1118935758100,2
